,0
upload_to_first_attempt_P50 (hrs),0.31888801942185807
leadsource_enc,0.29176731363852076
Attempt per Lead,0.1676343923765346
Attempted,0.14184135770514195
tag_filled,0.038907213162312854
Connected,0.033010421315161464
Interested,0.00795128238047032
